"id_aula","nombre"
"F-ALTA-1","Salón 1"
"F-ALTA-2","Salón 2"
"F-ALTA-3","Salón 3"
"F-ALTA-4","Salón 4"
"F-ALTA-5","Salón 5"
"F-ALTA-6","Salón 6"
"F-ALTA-7","Salón 7"
"F-ALTA-8","Salón 8"
"F-ALTA-9","Salón 9"
"F-ALTA-10","Salón 10"
"F-ALTA-POLIFUNCIONAL_I","Polifuncional I"
"F-ALTA-POLIFUNCIONAL_II","Polifuncional II"
"F-BAJA-1","Salón 1"
"F-BAJA-2","Salón 2"
"F-BAJA-3","Salón 3"
"F-BAJA-4","Salón 4"
"F-BAJA-5","Salón 5"
"F-BAJA-6","Salón 6"
"F-BAJA-7","Salón 7"
"F-BAJA-8","Salón 8"
"F-BAJA-9","Salón 9"
"F-BAJA-10","Salón 10"
"F-BAJA-OGP","OGP"
"G-BAJA-2","Salón 2"
"G-BAJA-3","Salón 3"
"I-ALTA-AREA_2","Área 2 · Lab 2"
"I-BAJA-AREA_3","Área 3 · Lab 3"
"I-BAJA-AREA_7","Área 7 · Lab 7"
"I-BAJA-AREA_8","Área 8 · Lab 8"
"NANO_H1-BAJA-1","Salón 1"
"NANO_H1-BAJA-2","Salón 2"
"NANO_H1-BAJA-3","Salón 3"
"NANO_H1-BAJA-4","Salón 4"
"NANO_H1-BAJA-5","Salón 5 · Lab 1"
"NANO_H1-ALTA-5","Salón 5"
"NANO_H1-ALTA-6","Salón 6"
"NANO_H1-ALTA-7","Salón 7"
"NANO_H1-ALTA-8","Salón 8"
"NANO_H1-ALTA-9","Salón 9"
"NANO_H1-ALTA-10","Salón 10"
"NANO_H1-ALTA-11","Salón 11 · Lab 2"
"AMBIENTAL_H-ALTA-11","Salón 11"
"AMBIENTAL_H-ALTA-12","Salón 12"
"AMBIENTAL_H-ALTA-13","Salón 13"
"PIDET-ALTA-POSGRADO_1","Posgrado 1"
"PIDET-ALTA-POSGRADO_3","Posgrado 3"
"PIDET-ALTA-POSGRADO_4","Posgrado 4"
"PIDET-ALTA-POSGRADO_5","Posgrado 5"
"PIDET-ALTA-POSGRADO_6","Posgrado 6"
"PIDET-ALTA-POSGRADO_7","Posgrado 7"
"PIDET-BAJA-POSGRADO_2","Posgrado 2"
"CIC-ALTA-AULA_A","Aula A"
"CIC-ALTA-AULA_B","Aula B"
"CIC-ALTA-AULA_MIRAI","Aula MIRAI"
"CIC-ALTA-AULA_QSM","Aula QSM"
"CIC-BAJA-HUAWEI","Aula HUAWEI"
"G-BAJA-1","Salón 1"
